DEVICEID,LINE_TIMESTAMP,Q,P,T
LINE1,01-10-2020 00:00:14.175,,1.33,
LINE1,01-10-2020 00:00:15.175,,1.62,
LINE1,01-10-2020 00:00:21.675,,1.42,
LINE1,01-10-2020 00:00:28.675,,1.62,
LINE1,01-10-2020 00:00:39.543,0.05,1.53,17.95
LINE1,01-10-2020 00:00:51.175,,1.29,
LINE1,01-10-2020 00:00:52.175,,1.66,
LINE1,01-10-2020 00:01:21.676,,1.45,
LINE1,01-10-2020 00:01:39.541,0.05,1.56,17.95
LINE1,01-10-2020 00:02:39.542,0.05,1.62,17.95
LINE1,01-10-2020 00:03:23.175,,1.36,
LINE1,01-10-2020 00:03:25.175,,1.57,
LINE1,01-10-2020 00:03:39.541,0.05,1.52,17.95
LINE1,01-10-2020 00:04:39.543,0.05,1.58,18
LINE1,01-10-2020 00:05:33.669,,1.36,
LINE1,01-10-2020 00:05:34.669,,1.68,
LINE1,01-10-2020 00:05:39.543,0.05,1.58,18.05
LINE1,01-10-2020 00:06:39.542,0.05,1.52,18.16
LINE1,01-10-2020 00:07:39.543,0.05,1.55,18.16
LINE1,01-10-2020 00:08:39.542,0.05,1.57,18.16
LINE1,01-10-2020 00:09:02.669,,1.36,
LINE1,01-10-2020 00:09:04.669,,1.59,
LINE1,01-10-2020 00:09:25.669,,1.35,
LINE1,01-10-2020 00:09:26.670,,1.59,
LINE1,01-10-2020 00:09:39.543,0.05,1.53,18.01
LINE1,01-10-2020 00:09:43.670,,,17.78
LINE1,01-10-2020 00:09:53.670,,,17.55
LINE1,01-10-2020 00:10:05.670,,,17.34
LINE1,01-10-2020 00:10:33.671,,,17.56
LINE1,01-10-2020 00:10:39.542,0.05,1.62,17.51
LINE1,01-10-2020 00:10:51.674,,,17.73
LINE1,01-10-2020 00:11:33.674,,1.37,
LINE1,01-10-2020 00:11:34.674,,1.62,
LINE1,01-10-2020 00:11:35.675,,1.38,
LINE1,01-10-2020 00:11:36.676,,1.64,
LINE1,01-10-2020 00:11:39.542,0.05,1.6,17.83
LINE1,01-10-2020 00:11:39.547,,,17.61
LINE1,01-10-2020 00:11:55.675,,,17.82
LINE1,01-10-2020 00:12:39.543,0.05,1.5,17.72
LINE1,01-10-2020 00:13:39.543,0.05,1.56,17.72
LINE1,01-10-2020 00:14:02.669,,1.35,
LINE1,01-10-2020 00:14:03.669,,1.67,
LINE1,01-10-2020 00:14:05.669,,1.33,
LINE1,01-10-2020 00:14:06.670,,1.68,
LINE1,01-10-2020 00:14:07.669,,1.43,
LINE1,01-10-2020 00:14:39.542,0.05,1.57,17.56
LINE1,01-10-2020 00:14:46.670,,1.34,
LINE1,01-10-2020 00:14:47.669,,1.56,
LINE1,01-10-2020 00:15:39.541,0.05,1.49,17.39
LINE1,01-10-2020 00:16:39.542,0.05,1.55,17.5
