DEVICEID,LINE_TIMESTAMP,Q,P,T
LINE1,01-10-2020 00:17:01.671,,,17.73
LINE1,01-10-2020 00:17:11.670,,1.32,
LINE1,01-10-2020 00:17:12.670,,1.55,
LINE1,01-10-2020 00:17:39.541,0.05,1.54,17.61
LINE1,01-10-2020 00:18:39.543,0.05,1.57,17.65
LINE1,01-10-2020 00:19:04.669,,1.35,
LINE1,01-10-2020 00:19:05.669,,1.59,
LINE1,01-10-2020 00:19:39.542,0.05,1.62,17.56
LINE1,01-10-2020 00:20:22.669,,1.41,
LINE1,01-10-2020 00:20:39.542,0.05,1.53,17.5
LINE1,01-10-2020 00:21:39.543,0.05,1.53,17.52
LINE1,01-10-2020 00:22:39.542,0.05,1.56,17.51
LINE1,01-10-2020 00:22:52.669,,1.27,
LINE1,01-10-2020 00:22:53.669,,1.7,
LINE1,01-10-2020 00:22:54.669,,1.44,
LINE1,01-10-2020 00:23:07.669,,1.64,
LINE1,01-10-2020 00:23:29.669,,1.43,
LINE1,01-10-2020 00:23:39.542,0.05,1.56,17.4
LINE1,01-10-2020 00:24:39.541,0.05,1.6,17.5
LINE1,01-10-2020 00:24:53.674,,1.32,
LINE1,01-10-2020 00:24:54.674,,1.55,
LINE1,01-10-2020 00:25:24.669,,1.33,
LINE1,01-10-2020 00:25:26.670,,1.56,
LINE1,01-10-2020 00:25:39.542,0.05,1.55,17.4
LINE1,01-10-2020 00:26:39.541,0.05,1.55,17.34
LINE1,01-10-2020 00:27:39.542,0.05,1.58,17.29
LINE1,01-10-2020 00:28:09.669,,1.32,
LINE1,01-10-2020 00:28:10.669,,1.61,
LINE1,01-10-2020 00:28:39.541,0.05,1.57,17.29
LINE1,01-10-2020 00:29:39.542,0.05,1.5,17.29
LINE1,01-10-2020 00:30:39.543,0.05,1.56,17.12
LINE1,01-10-2020 00:31:39.542,0.05,1.57,17.18
LINE1,01-10-2020 00:32:32.669,,1.29,
LINE1,01-10-2020 00:32:33.169,,1.56,
LINE1,01-10-2020 00:32:39.543,0.05,1.48,17.07
LINE1,01-10-2020 00:33:29.669,,1.27,
LINE1,01-10-2020 00:33:30.669,,1.67,
LINE1,01-10-2020 00:33:39.542,0.05,1.55,17.05
LINE1,01-10-2020 00:34:12.669,,1.34,
LINE1,01-10-2020 00:34:13.669,,1.65,
LINE1,01-10-2020 00:34:39.543,0.05,1.6,17.06
LINE1,01-10-2020 00:35:08.169,,1.39,
LINE1,01-10-2020 00:35:09.169,,1.65,
LINE1,01-10-2020 00:35:32.669,,1.43,
LINE1,01-10-2020 00:35:33.669,,1.65,
LINE1,01-10-2020 00:35:36.670,,1.44,
LINE1,01-10-2020 00:35:39.542,0.05,1.55,16.96
LINE1,01-10-2020 00:36:39.542,0.05,1.61,16.96
LINE1,01-10-2020 00:37:39.543,0.05,1.53,16.83
LINE1,01-10-2020 00:37:41.674,,1.26,
LINE1,01-10-2020 00:37:42.674,,1.66,
LINE1,01-10-2020 00:37:46.675,,1.36,
LINE1,01-10-2020 00:37:48.674,,1.59,
LINE1,01-10-2020 00:38:02.674,,1.32,
LINE1,01-10-2020 00:38:03.674,,1.59,
LINE1,01-10-2020 00:38:31.669,,1.34,
LINE1,01-10-2020 00:38:32.669,,1.72,
LINE1,01-10-2020 00:38:34.669,,1.46,
LINE1,01-10-2020 00:38:39.541,0.05,1.48,16.85
LINE1,01-10-2020 00:39:39.543,0.05,1.54,16.84
LINE1,01-10-2020 00:40:16.670,,1.29,
LINE1,01-10-2020 00:40:17.669,,1.72,
LINE1,01-10-2020 00:40:18.669,,1.49,
LINE1,01-10-2020 00:40:39.542,0.05,1.42,16.85
LINE1,01-10-2020 00:40:41.669,,1.64,
LINE1,01-10-2020 00:41:18.669,,1.41,
LINE1,01-10-2020 00:41:19.669,,1.67,
LINE1,01-10-2020 00:41:36.670,,1.46,
LINE1,01-10-2020 00:41:39.543,0.05,1.58,16.85
LINE1,01-10-2020 00:41:50.669,,1.37,
LINE1,01-10-2020 00:41:51.669,,1.62,
LINE1,01-10-2020 00:42:03.669,,1.39,
LINE1,01-10-2020 00:42:04.669,,1.6,
LINE1,01-10-2020 00:42:39.541,0.05,1.47,16.85
LINE1,01-10-2020 00:43:39.543,0.05,1.61,16.74
LINE1,01-10-2020 00:43:48.670,,1.39,
LINE1,01-10-2020 00:43:51.670,,1.6,
LINE1,01-10-2020 00:44:15.673,,1.33,
LINE1,01-10-2020 00:44:17.673,,1.62,
LINE1,01-10-2020 00:44:39.543,0.05,1.52,16.74
LINE1,01-10-2020 00:45:39.542,0.05,1.55,16.75
LINE1,01-10-2020 00:46:39.542,0.05,1.52,16.68
LINE1,01-10-2020 00:47:39.542,0.05,1.55,16.68
LINE1,01-10-2020 00:48:39.543,0.05,1.59,16.63
LINE1,01-10-2020 00:49:05.169,,1.37,
LINE1,01-10-2020 00:49:07.669,,1.61,
LINE1,01-10-2020 00:49:39.541,0.05,1.49,16.63
LINE1,01-10-2020 00:50:39.542,0.05,1.6,16.64
LINE1,01-10-2020 00:50:54.673,,1.4,
LINE1,01-10-2020 00:50:55.173,,1.63,
LINE1,01-10-2020 00:51:25.674,,1.39,
LINE1,01-10-2020 00:51:27.674,,1.63,
LINE1,01-10-2020 00:51:32.674,,1.43,
LINE1,01-10-2020 00:51:39.542,0.05,1.45,16.47
LINE1,01-10-2020 00:51:41.674,,1.65,
LINE1,01-10-2020 00:51:47.674,,1.44,
LINE1,01-10-2020 00:51:48.674,,1.69,
LINE1,01-10-2020 00:51:50.669,,1.46,
LINE1,01-10-2020 00:52:14.669,,1.68,
LINE1,01-10-2020 00:52:15.669,,1.45,
LINE1,01-10-2020 00:52:20.669,,1.71,
LINE1,01-10-2020 00:52:24.669,,1.44,
LINE1,01-10-2020 00:52:33.669,,1.64,
LINE1,01-10-2020 00:52:39.543,0.05,1.52,16.46
LINE1,01-10-2020 00:53:39.542,0.05,1.52,16.45
LINE1,01-10-2020 00:54:39.541,0.05,1.5,16.47
LINE1,01-10-2020 00:55:39.541,0.05,1.55,16.46
LINE1,01-10-2020 00:56:39.542,0.05,1.52,16.31
LINE1,01-10-2020 00:57:39.543,0.05,1.61,16.3
LINE1,01-10-2020 00:58:39.542,0.05,1.63,16.26
LINE1,01-10-2020 00:58:39.547,,1.43,
LINE1,01-10-2020 00:58:39.669,,1.71,
LINE1,01-10-2020 00:58:47.669,,1.51,
LINE1,01-10-2020 00:58:54.669,,1.72,
LINE1,01-10-2020 00:59:05.669,,1.42,
LINE1,01-10-2020 00:59:07.669,,1.63,
LINE1,01-10-2020 00:59:39.542,0.05,1.43,16.19
LINE1,01-10-2020 00:59:39.547,,1.65,
LINE1,01-10-2020 01:00:02.669,,1.43,
LINE1,01-10-2020 01:00:05.669,,1.63,
LINE1,01-10-2020 01:00:18.669,,1.42,
LINE1,01-10-2020 01:00:19.669,,1.63,
LINE1,01-10-2020 01:00:39.543,0.05,1.53,16.21
LINE1,01-10-2020 01:00:51.669,,1.32,
LINE1,01-10-2020 01:00:52.669,,1.59,
LINE1,01-10-2020 01:01:04.169,,1.38,
LINE1,01-10-2020 01:01:05.669,,1.7,
LINE1,01-10-2020 01:01:12.669,,1.5,
LINE1,01-10-2020 01:01:39.541,0.05,1.56,16.21
LINE1,01-10-2020 01:02:39.542,0.05,1.62,16.08
LINE1,01-10-2020 01:03:21.669,,1.29,
LINE1,01-10-2020 01:03:22.669,,1.7,
LINE1,01-10-2020 01:03:25.669,,1.4,
LINE1,01-10-2020 01:03:31.670,,1.62,
LINE1,01-10-2020 01:03:39.541,0.05,1.42,16.04
LINE1,01-10-2020 01:03:44.669,,1.66,
LINE1,01-10-2020 01:04:13.173,,1.45,
LINE1,01-10-2020 01:04:39.543,0.05,1.51,15.99
LINE1,01-10-2020 01:05:39.542,0.05,1.47,15.97
LINE1,01-10-2020 01:06:39.542,0.05,1.54,15.98
LINE1,01-10-2020 01:06:58.162,,1.75,
LINE1,01-10-2020 01:06:59.162,,1.41,
LINE1,01-10-2020 01:07:00.162,,1.65,
LINE1,01-10-2020 01:07:07.663,,1.44,
LINE1,01-10-2020 01:07:22.662,,1.67,
LINE1,01-10-2020 01:07:39.542,0.05,1.6,15.89
LINE1,01-10-2020 01:08:39.543,0.05,1.56,15.97
LINE1,01-10-2020 01:09:39.542,0.05,1.55,15.87
LINE1,01-10-2020 01:10:39.542,0.05,1.56,15.83
LINE1,01-10-2020 01:10:46.665,,1.36,
LINE1,01-10-2020 01:10:51.665,,1.56,
LINE1,01-10-2020 01:11:26.667,,1.28,
LINE1,01-10-2020 01:11:27.668,,1.8,
LINE1,01-10-2020 01:11:29.667,,1.53,
LINE1,01-10-2020 01:11:39.542,0.05,1.55,15.87
LINE1,01-10-2020 01:12:39.541,0.05,1.59,15.82
LINE1,01-10-2020 01:13:39.543,0.05,1.61,15.88
LINE1,01-10-2020 01:13:43.662,,1.4,
LINE1,01-10-2020 01:13:44.662,,1.61,
LINE1,01-10-2020 01:14:39.543,0.05,1.59,15.88
LINE1,01-10-2020 01:15:36.662,,1.31,
LINE1,01-10-2020 01:15:39.543,0.05,1.59,15.83
LINE1,01-10-2020 01:16:05.662,,1.37,
LINE1,01-10-2020 01:16:09.662,,1.62,
LINE1,01-10-2020 01:16:31.662,,1.42,
LINE1,01-10-2020 01:16:37.663,,1.63,
LINE1,01-10-2020 01:16:39.542,0.05,1.47,15.88
LINE1,01-10-2020 01:16:46.662,,1.68,
LINE1,01-10-2020 01:16:58.662,,1.45,
LINE1,01-10-2020 01:16:59.662,,1.68,
LINE1,01-10-2020 01:17:00.662,,1.46,
LINE1,01-10-2020 01:17:39.543,0.05,1.49,15.78
LINE1,01-10-2020 01:18:39.542,0.05,1.52,15.83
LINE1,01-10-2020 01:19:39.542,0.05,1.56,15.77
LINE1,01-10-2020 01:20:39.543,0.05,1.59,15.78
LINE1,01-10-2020 01:20:40.662,,1.36,
LINE1,01-10-2020 01:20:41.662,,1.67,
LINE1,01-10-2020 01:21:06.162,,1.43,
LINE1,01-10-2020 01:21:18.162,,1.64,
LINE1,01-10-2020 01:21:31.162,,1.42,
LINE1,01-10-2020 01:21:32.163,,1.64,
LINE1,01-10-2020 01:21:39.542,0.05,1.62,15.78
LINE1,01-10-2020 01:21:44.662,,1.36,
LINE1,01-10-2020 01:21:47.162,,1.67,
LINE1,01-10-2020 01:21:55.662,,1.46,
LINE1,01-10-2020 01:22:10.162,,1.67,
LINE1,01-10-2020 01:22:13.162,,1.29,
LINE1,01-10-2020 01:22:14.162,,1.71,
LINE1,01-10-2020 01:22:21.162,,1.44,
LINE1,01-10-2020 01:22:24.162,,1.64,
LINE1,01-10-2020 01:22:39.543,0.05,1.5,15.78
LINE1,01-10-2020 01:23:39.543,0.05,1.53,15.78
LINE1,01-10-2020 01:24:39.542,0.05,1.52,15.78
LINE1,01-10-2020 01:25:39.542,0.05,1.55,15.81
LINE1,01-10-2020 01:26:39.541,0.05,1.62,15.83
LINE1,01-10-2020 01:27:28.662,,1.35,
LINE1,01-10-2020 01:27:30.662,,1.58,
LINE1,01-10-2020 01:27:39.542,0.05,1.56,15.66
LINE1,01-10-2020 01:28:01.663,,,15.45
LINE1,01-10-2020 01:28:17.664,,,15.24
LINE1,01-10-2020 01:28:26.662,,1.3,
LINE1,01-10-2020 01:28:27.663,,1.58,
LINE1,01-10-2020 01:28:39.542,0.05,1.48,15.13
LINE1,01-10-2020 01:28:59.663,,,15.34
LINE1,01-10-2020 01:29:03.663,,,15.56
LINE1,01-10-2020 01:29:09.663,,,15.78
LINE1,01-10-2020 01:29:14.163,,,15.99
LINE1,01-10-2020 01:29:19.163,,,16.2
LINE1,01-10-2020 01:29:23.663,,,16.4
LINE1,01-10-2020 01:29:29.663,,,16.63
LINE1,01-10-2020 01:29:35.663,,,16.86
LINE1,01-10-2020 01:29:39.543,0.05,1.39,16.86
LINE1,01-10-2020 01:29:39.662,,1.65,
LINE1,01-10-2020 01:29:52.663,,,17.07
LINE1,01-10-2020 01:30:01.662,,1.41,
LINE1,01-10-2020 01:30:02.662,,1.64,
LINE1,01-10-2020 01:30:13.662,,1.38,
LINE1,01-10-2020 01:30:14.662,,1.64,
LINE1,01-10-2020 01:30:39.543,0.05,1.59,17.17
LINE1,01-10-2020 01:31:11.167,,1.38,
LINE1,01-10-2020 01:31:12.167,,1.61,
LINE1,01-10-2020 01:31:37.668,,1.4,
LINE1,01-10-2020 01:31:39.542,0.05,1.62,17.11
LINE1,01-10-2020 01:31:49.667,,1.41,
LINE1,01-10-2020 01:31:50.662,,1.62,
LINE1,01-10-2020 01:32:39.543,0.05,1.5,17.12
LINE1,01-10-2020 01:33:39.541,0.05,1.48,17.11
LINE1,01-10-2020 01:34:39.543,0.05,1.59,17.07
LINE1,01-10-2020 01:34:53.663,,,17.28
LINE1,01-10-2020 01:35:14.162,,1.36,
LINE1,01-10-2020 01:35:15.162,,1.62,
LINE1,01-10-2020 01:35:28.162,,1.37,
LINE1,01-10-2020 01:35:29.162,,1.68,
LINE1,01-10-2020 01:35:39.542,0.05,1.58,17.16
LINE1,01-10-2020 01:35:53.162,,1.36,
LINE1,01-10-2020 01:35:54.162,,1.68,
LINE1,01-10-2020 01:35:59.162,,1.36,
LINE1,01-10-2020 01:36:00.162,,1.62,
LINE1,01-10-2020 01:36:16.162,,1.41,
LINE1,01-10-2020 01:36:29.162,,1.64,
LINE1,01-10-2020 01:36:39.542,0.05,1.6,17.17
LINE1,01-10-2020 01:36:54.162,,1.4,
LINE1,01-10-2020 01:36:56.162,,1.61,
LINE1,01-10-2020 01:37:03.162,,1.41,
LINE1,01-10-2020 01:37:14.163,,1.62,
LINE1,01-10-2020 01:37:33.165,,1.31,
LINE1,01-10-2020 01:37:34.166,,1.69,
LINE1,01-10-2020 01:37:39.542,0.05,1.56,17.28
LINE1,01-10-2020 01:38:39.543,0.05,1.53,17.39
LINE1,01-10-2020 01:39:39.542,0.05,1.58,17.41
LINE1,01-10-2020 01:39:48.162,,1.34,
LINE1,01-10-2020 01:39:49.162,,1.59,
LINE1,01-10-2020 01:40:00.162,,1.37,
LINE1,01-10-2020 01:40:01.162,,1.61,
LINE1,01-10-2020 01:40:22.162,,1.4,
LINE1,01-10-2020 01:40:28.162,,1.65,
LINE1,01-10-2020 01:40:39.541,0.05,1.46,17.34
LINE1,01-10-2020 01:40:47.663,,1.69,
LINE1,01-10-2020 01:40:53.662,,1.48,
LINE1,01-10-2020 01:41:39.542,0.05,1.62,17.39
LINE1,01-10-2020 01:41:54.662,,1.4,
LINE1,01-10-2020 01:41:59.662,,1.65,
LINE1,01-10-2020 01:42:05.662,,1.45,
LINE1,01-10-2020 01:42:13.662,,1.7,
LINE1,01-10-2020 01:42:28.662,,1.45,
LINE1,01-10-2020 01:42:39.541,0.05,1.6,17.5
LINE1,01-10-2020 01:42:51.662,,1.32,
LINE1,01-10-2020 01:42:52.663,,1.68,
LINE1,01-10-2020 01:43:00.662,,1.39,
LINE1,01-10-2020 01:43:02.662,,1.66,
LINE1,01-10-2020 01:43:05.662,,1.3,
LINE1,01-10-2020 01:43:06.662,,1.61,
LINE1,01-10-2020 01:43:26.662,,1.34,
LINE1,01-10-2020 01:43:28.662,,1.6,
LINE1,01-10-2020 01:43:39.543,0.05,1.47,17.5
LINE1,01-10-2020 01:44:39.542,0.05,1.53,17.51
LINE1,01-10-2020 01:45:39.542,0.05,1.58,17.56
LINE1,01-10-2020 01:46:20.662,,1.37,
LINE1,01-10-2020 01:46:21.162,,1.63,
LINE1,01-10-2020 01:46:39.543,0.05,1.62,17.56
LINE1,01-10-2020 01:46:59.662,,1.42,
LINE1,01-10-2020 01:47:03.662,,1.65,
LINE1,01-10-2020 01:47:14.662,,1.42,
LINE1,01-10-2020 01:47:39.543,0.05,1.52,17.56
LINE1,01-10-2020 01:48:39.543,0.05,1.56,17.61
LINE1,01-10-2020 01:49:39.541,0.05,1.52,17.73
LINE1,01-10-2020 01:50:39.543,0.05,1.55,17.73
LINE1,01-10-2020 01:51:39.541,0.05,1.56,17.74
LINE1,01-10-2020 01:52:39.542,0.05,1.6,17.77
LINE1,01-10-2020 01:53:34.162,,1.39,
LINE1,01-10-2020 01:53:35.162,,1.73,
LINE1,01-10-2020 01:53:39.542,0.05,1.55,17.78
LINE1,01-10-2020 01:54:03.162,,1.28,
LINE1,01-10-2020 01:54:05.162,,1.68,
LINE1,01-10-2020 01:54:28.662,,1.31,
LINE1,01-10-2020 01:54:29.662,,1.6,
LINE1,01-10-2020 01:54:39.542,0.05,1.56,17.78
LINE1,01-10-2020 01:55:30.162,,1.3,
LINE1,01-10-2020 01:55:31.162,,1.52,
LINE1,01-10-2020 01:55:39.542,0.05,1.59,17.9
LINE1,01-10-2020 01:56:31.162,,1.36,
LINE1,01-10-2020 01:56:32.162,,1.69,
LINE1,01-10-2020 01:56:33.162,,1.38,
LINE1,01-10-2020 01:56:34.162,,1.66,
LINE1,01-10-2020 01:56:39.542,0.05,1.58,17.95
LINE1,01-10-2020 01:57:28.165,,1.37,
LINE1,01-10-2020 01:57:29.165,,1.66,
LINE1,01-10-2020 01:57:36.167,,1.36,
LINE1,01-10-2020 01:57:39.543,0.05,1.6,17.95
LINE1,01-10-2020 01:57:40.167,,1.39,
LINE1,01-10-2020 01:57:41.167,,1.6,
LINE1,01-10-2020 01:58:39.542,0.05,1.57,17.95
LINE1,01-10-2020 01:59:39.543,0.05,1.57,18
LINE1,01-10-2020 02:00:39.541,0.05,1.47,18
LINE1,01-10-2020 02:01:34.662,,1.27,
LINE1,01-10-2020 02:01:35.662,,1.7,
LINE1,01-10-2020 02:01:39.543,0.05,1.51,18
LINE1,01-10-2020 02:02:39.541,0.05,1.54,18.16
LINE1,01-10-2020 02:03:39.542,0.05,1.45,18.16
LINE1,01-10-2020 02:03:40.662,,1.66,
LINE1,01-10-2020 02:03:43.162,,1.43,
LINE1,01-10-2020 02:04:28.667,,1.68,
LINE1,01-10-2020 02:04:32.667,,1.46,
LINE1,01-10-2020 02:04:33.667,,1.67,
LINE1,01-10-2020 02:04:36.667,,1.44,
LINE1,01-10-2020 02:04:39.542,0.05,1.59,18.2
LINE1,01-10-2020 02:04:53.667,,1.37,
LINE1,01-10-2020 02:04:54.667,,1.63,
LINE1,01-10-2020 02:05:39.541,0.05,1.6,18.18
LINE1,01-10-2020 02:05:44.156,,,17.95
LINE1,01-10-2020 02:05:52.656,,,17.73
LINE1,01-10-2020 02:06:01.656,,,17.5
LINE1,01-10-2020 02:06:17.155,,1.33,
LINE1,01-10-2020 02:06:19.655,,1.56,
LINE1,01-10-2020 02:06:39.543,0.05,1.52,17.56
LINE1,01-10-2020 02:06:59.157,,,17.76
LINE1,01-10-2020 02:07:37.156,,,17.96
LINE1,01-10-2020 02:07:39.542,0.05,1.52,17.84
LINE1,01-10-2020 02:08:29.156,,,18.05
LINE1,01-10-2020 02:08:39.543,0.05,1.59,18.02
LINE1,01-10-2020 02:09:39.542,0.05,1.53,18
LINE1,01-10-2020 02:10:39.542,0.05,1.52,18.05
LINE1,01-10-2020 02:10:58.160,,,17.82
LINE1,01-10-2020 02:11:39.543,0.05,1.45,17.94
LINE1,01-10-2020 02:11:42.160,,1.65,
LINE1,01-10-2020 02:11:47.160,,1.37,
LINE1,01-10-2020 02:11:49.160,,1.58,
LINE1,01-10-2020 02:12:13.156,,,17.73
LINE1,01-10-2020 02:12:15.155,,1.36,
LINE1,01-10-2020 02:12:16.155,,1.59,
LINE1,01-10-2020 02:12:23.155,,1.39,
LINE1,01-10-2020 02:12:24.155,,1.61,
LINE1,01-10-2020 02:12:25.155,,1.3,
LINE1,01-10-2020 02:12:26.155,,1.65,
LINE1,01-10-2020 02:12:35.155,,1.3,
LINE1,01-10-2020 02:12:36.155,,1.61,
LINE1,01-10-2020 02:12:39.542,0.05,1.34,17.78
LINE1,01-10-2020 02:12:39.547,,1.65,
LINE1,01-10-2020 02:12:49.155,,1.36,
LINE1,01-10-2020 02:12:50.155,,1.63,
LINE1,01-10-2020 02:13:14.156,,,17.56
LINE1,01-10-2020 02:13:29.155,,1.34,
LINE1,01-10-2020 02:13:30.155,,1.71,
LINE1,01-10-2020 02:13:32.155,,1.45,
LINE1,01-10-2020 02:13:39.543,0.05,1.34,17.71
LINE1,01-10-2020 02:13:39.548,,1.59,
LINE1,01-10-2020 02:13:56.656,,,17.5
LINE1,01-10-2020 02:14:04.655,,1.38,
LINE1,01-10-2020 02:14:06.655,,1.59,
LINE1,01-10-2020 02:14:39.542,0.05,1.55,17.5
LINE1,01-10-2020 02:15:32.657,,,17.73
LINE1,01-10-2020 02:15:39.557,0.05,1.55,17.61
LINE1,01-10-2020 02:15:54.655,,1.33,
LINE1,01-10-2020 02:15:55.655,,1.63,
LINE1,01-10-2020 02:16:39.542,0.05,1.51,17.77
LINE1,01-10-2020 02:17:36.660,,,17.51
LINE1,01-10-2020 02:17:39.542,0.05,1.48,17.56
LINE1,01-10-2020 02:18:39.543,0.05,1.59,17.5
LINE1,01-10-2020 02:18:55.656,,,17.73
LINE1,01-10-2020 02:18:56.656,,,17.51
LINE1,01-10-2020 02:19:08.655,,1.34,
LINE1,01-10-2020 02:19:09.655,,1.65,
LINE1,01-10-2020 02:19:19.155,,1.45,
LINE1,01-10-2020 02:19:39.542,0.05,1.51,17.56
LINE1,01-10-2020 02:20:28.155,,1.74,
LINE1,01-10-2020 02:20:31.155,,1.48,
LINE1,01-10-2020 02:20:39.542,0.05,1.48,17.55
LINE1,01-10-2020 02:21:39.542,0.05,1.55,17.51
LINE1,01-10-2020 02:22:39.543,0.05,1.6,17.5
LINE1,01-10-2020 02:23:02.155,,1.36,
LINE1,01-10-2020 02:23:03.155,,1.7,
LINE1,01-10-2020 02:23:11.155,,1.44,
LINE1,01-10-2020 02:23:34.155,,1.66,
LINE1,01-10-2020 02:23:35.155,,1.44,
LINE1,01-10-2020 02:23:39.542,0.05,1.58,17.34
LINE1,01-10-2020 02:24:39.542,0.05,1.54,17.51
LINE1,01-10-2020 02:25:17.161,,,17.28
LINE1,01-10-2020 02:25:39.542,0.05,1.49,17.34
LINE1,01-10-2020 02:26:39.543,0.05,1.58,17.29
LINE1,01-10-2020 02:27:35.155,,1.36,
LINE1,01-10-2020 02:27:36.155,,1.56,
LINE1,01-10-2020 02:27:39.543,0.05,1.43,17.29
LINE1,01-10-2020 02:28:39.542,0.05,1.49,17.3
LINE1,01-10-2020 02:29:39.542,0.05,1.56,17.17
LINE1,01-10-2020 02:30:15.155,,1.31,
LINE1,01-10-2020 02:30:16.155,,1.52,
LINE1,01-10-2020 02:30:39.542,0.05,1.65,17.12
LINE1,01-10-2020 02:30:41.157,,1.42,
LINE1,01-10-2020 02:30:45.158,,1.64,
LINE1,01-10-2020 02:30:48.158,,1.39,
LINE1,01-10-2020 02:30:54.159,,1.64,
LINE1,01-10-2020 02:31:10.160,,1.44,
LINE1,01-10-2020 02:31:11.160,,1.64,
LINE1,01-10-2020 02:31:39.542,0.05,1.43,17.07
LINE1,01-10-2020 02:32:08.655,,1.63,
LINE1,01-10-2020 02:32:39.542,0.05,1.59,17.07
LINE1,01-10-2020 02:32:57.656,,1.35,
LINE1,01-10-2020 02:32:58.655,,1.61,
LINE1,01-10-2020 02:33:39.543,0.05,1.6,17.07
LINE1,01-10-2020 02:34:39.542,0.05,1.58,17.07
LINE1,01-10-2020 02:35:25.655,,1.36,
LINE1,01-10-2020 02:35:26.655,,1.61,
LINE1,01-10-2020 02:35:39.541,0.05,1.53,16.96
LINE1,01-10-2020 02:36:39.543,0.05,1.51,16.95
LINE1,01-10-2020 02:37:39.541,0.05,1.43,16.94
LINE1,01-10-2020 02:37:41.160,,1.7,
LINE1,01-10-2020 02:37:46.160,,1.47,
LINE1,01-10-2020 02:38:39.543,0.05,1.55,16.85
LINE1,01-10-2020 02:39:39.542,0.05,1.59,16.85
LINE1,01-10-2020 02:40:39.543,0.05,1.53,16.85
LINE1,01-10-2020 02:41:39.543,0.05,1.43,16.84
LINE1,01-10-2020 02:41:45.155,,1.64,
LINE1,01-10-2020 02:41:50.155,,1.39,
LINE1,01-10-2020 02:41:55.156,,1.62,
LINE1,01-10-2020 02:42:21.156,,1.39,
LINE1,01-10-2020 02:42:29.155,,1.61,
LINE1,01-10-2020 02:42:39.542,0.05,1.57,16.85
LINE1,01-10-2020 02:43:39.542,0.05,1.54,16.75
LINE1,01-10-2020 02:43:48.155,,1.32,
LINE1,01-10-2020 02:43:49.156,,1.59,
LINE1,01-10-2020 02:44:39.542,0.05,1.53,16.7
LINE1,01-10-2020 02:45:39.542,0.05,1.47,16.74
LINE1,01-10-2020 02:46:39.542,0.05,1.56,16.69
LINE1,01-10-2020 02:46:49.155,,1.32,
LINE1,01-10-2020 02:46:50.155,,1.62,
LINE1,01-10-2020 02:46:59.155,,1.42,
LINE1,01-10-2020 02:47:05.155,,1.66,
LINE1,01-10-2020 02:47:28.155,,1.3,
