DEVICEID,LINE_TIMESTAMP,Q,P,T
LINE3,01-10-2020 00:00:39.543,0.05,2.48,18.19
LINE3,01-10-2020 00:01:39.541,0.05,2.48,18.19
LINE3,01-10-2020 00:02:39.542,0.05,2.5,18.24
LINE3,01-10-2020 00:03:39.541,0.05,2.52,18.24
LINE3,01-10-2020 00:04:39.543,0.05,2.49,18.31
LINE3,01-10-2020 00:05:39.543,0.05,2.46,18.31
LINE3,01-10-2020 00:06:39.542,0.05,2.5,18.42
LINE3,01-10-2020 00:07:39.543,0.05,2.49,18.42
LINE3,01-10-2020 00:08:39.542,0.05,2.51,18.41
LINE3,01-10-2020 00:09:39.543,0.05,2.5,18.45
LINE3,01-10-2020 00:10:39.542,0.05,2.49,18.53
LINE3,01-10-2020 00:11:39.542,0.05,2.5,18.53
LINE3,01-10-2020 00:12:39.543,0.05,2.48,18.64
LINE3,01-10-2020 00:13:39.543,0.05,2.5,18.64
LINE3,01-10-2020 00:14:39.542,0.05,2.51,18.62
LINE3,01-10-2020 00:15:39.541,0.05,2.52,18.64
LINE3,01-10-2020 00:16:39.542,0.05,2.51,18.69
LINE3,01-10-2020 00:17:39.541,0.05,2.49,18.69
LINE3,01-10-2020 00:18:39.543,0.05,2.51,18.64
LINE3,01-10-2020 00:19:39.542,0.05,2.46,18.64
LINE3,01-10-2020 00:20:39.542,0.05,2.48,18.64
LINE3,01-10-2020 00:21:39.543,0.05,2.49,18.67
LINE3,01-10-2020 00:22:39.542,0.05,2.51,18.69
LINE3,01-10-2020 00:23:39.542,0.05,2.47,18.68
LINE3,01-10-2020 00:24:39.541,0.05,2.52,18.67
LINE3,01-10-2020 00:25:39.542,0.05,2.5,18.68
LINE3,01-10-2020 00:26:39.541,0.05,2.48,18.68
LINE3,01-10-2020 00:27:39.542,0.05,2.48,18.68
LINE3,01-10-2020 00:28:39.541,0.05,2.51,18.67
LINE3,01-10-2020 00:29:39.542,0.05,2.5,18.69
LINE3,01-10-2020 00:30:39.543,0.05,2.49,18.67
LINE3,01-10-2020 00:31:39.542,0.05,2.48,18.68
LINE3,01-10-2020 00:32:39.543,0.05,2.49,18.64
LINE3,01-10-2020 00:33:39.542,0.05,2.51,18.64
LINE3,01-10-2020 00:34:39.543,0.05,2.51,18.64
LINE3,01-10-2020 00:35:39.542,0.05,2.52,18.64
LINE3,01-10-2020 00:36:39.542,0.05,2.5,18.64
LINE3,01-10-2020 00:37:39.543,0.05,2.52,18.65
LINE3,01-10-2020 00:38:39.541,0.05,2.49,18.64
LINE3,01-10-2020 00:39:39.543,0.05,2.49,18.64
LINE3,01-10-2020 00:40:39.542,0.05,2.51,18.63
LINE3,01-10-2020 00:41:39.543,0.05,2.47,18.62
LINE3,01-10-2020 00:42:39.541,0.05,2.47,18.53
LINE3,01-10-2020 00:43:39.543,0.05,2.51,18.53
LINE3,01-10-2020 00:44:39.543,0.05,2.53,18.51
LINE3,01-10-2020 00:45:39.542,0.05,2.51,18.52
LINE3,01-10-2020 00:46:39.542,0.05,2.46,18.53
LINE3,01-10-2020 00:47:39.542,0.05,2.51,18.42
LINE3,01-10-2020 00:48:39.543,0.05,2.49,18.42
LINE3,01-10-2020 00:49:39.541,0.05,2.51,18.48
LINE3,01-10-2020 00:50:39.542,0.05,2.48,18.46
LINE3,01-10-2020 00:51:39.542,0.05,2.52,18.42
LINE3,01-10-2020 00:52:39.543,0.05,2.52,18.42
LINE3,01-10-2020 00:53:39.542,0.05,2.46,18.42
LINE3,01-10-2020 00:54:39.541,0.05,2.52,18.41
LINE3,01-10-2020 00:55:39.541,0.05,2.48,18.31
LINE3,01-10-2020 00:56:39.542,0.05,2.51,18.31
LINE3,01-10-2020 00:57:39.543,0.05,2.46,18.19
LINE3,01-10-2020 00:58:39.542,0.05,2.49,18.19
LINE3,01-10-2020 00:59:39.542,0.05,2.53,18.21
LINE3,01-10-2020 01:00:39.543,0.05,2.48,18.08
LINE3,01-10-2020 01:01:39.541,0.05,2.51,18.02
LINE3,01-10-2020 01:02:39.542,0.05,2.51,17.99
LINE3,01-10-2020 01:03:39.541,0.05,2.5,17.97
LINE3,01-10-2020 01:04:39.543,0.05,2.5,17.84
LINE3,01-10-2020 01:05:39.542,0.05,2.53,17.87
LINE3,01-10-2020 01:06:39.542,0.05,2.51,17.85
LINE3,01-10-2020 01:07:39.542,0.05,2.49,17.76
LINE3,01-10-2020 01:08:39.543,0.05,2.46,17.75
LINE3,01-10-2020 01:09:39.542,0.05,2.48,17.75
LINE3,01-10-2020 01:10:39.542,0.05,2.5,17.75
LINE3,01-10-2020 01:11:39.542,0.05,2.5,17.75
LINE3,01-10-2020 01:12:39.541,0.05,2.5,17.64
LINE3,01-10-2020 01:13:39.543,0.05,2.49,17.64
LINE3,01-10-2020 01:14:39.543,0.05,2.5,17.62
LINE3,01-10-2020 01:15:39.543,0.05,2.51,17.72
LINE3,01-10-2020 01:16:39.542,0.05,2.51,17.57
LINE3,01-10-2020 01:17:39.543,0.05,2.5,17.64
LINE3,01-10-2020 01:18:39.542,0.05,2.51,17.63
LINE3,01-10-2020 01:19:39.542,0.05,2.54,17.54
LINE3,01-10-2020 01:20:39.543,0.05,2.51,17.53
LINE3,01-10-2020 01:21:39.542,0.05,2.48,17.53
LINE3,01-10-2020 01:22:39.543,0.05,2.51,17.54
LINE3,01-10-2020 01:23:39.543,0.05,2.49,17.53
LINE3,01-10-2020 01:24:39.542,0.05,2.51,17.43
LINE3,01-10-2020 01:25:39.542,0.05,2.51,17.44
LINE3,01-10-2020 01:26:39.541,0.05,2.5,17.5
LINE3,01-10-2020 01:27:39.542,0.05,2.51,17.44
LINE3,01-10-2020 01:28:39.542,0.05,2.51,17.41
LINE3,01-10-2020 01:29:39.543,0.05,2.51,17.41
LINE3,01-10-2020 01:30:39.543,0.05,2.49,17.37
LINE3,01-10-2020 01:31:39.542,0.05,2.48,17.37
LINE3,01-10-2020 01:32:39.543,0.05,2.49,17.36
LINE3,01-10-2020 01:33:39.541,0.05,2.51,17.32
LINE3,01-10-2020 01:34:39.543,0.05,2.5,17.37
LINE3,01-10-2020 01:35:39.542,0.05,2.49,17.42
LINE3,01-10-2020 01:36:39.542,0.05,2.51,17.53
LINE3,01-10-2020 01:37:39.542,0.05,2.49,17.54
LINE3,01-10-2020 01:38:39.543,0.05,2.5,17.54
LINE3,01-10-2020 01:39:39.542,0.05,2.47,17.52
LINE3,01-10-2020 01:40:39.541,0.05,2.49,17.58
LINE3,01-10-2020 01:41:39.542,0.05,2.49,17.65
LINE3,01-10-2020 01:42:39.541,0.05,2.51,17.74
LINE3,01-10-2020 01:43:39.543,0.05,2.51,17.75
LINE3,01-10-2020 01:44:39.542,0.05,2.5,17.75
LINE3,01-10-2020 01:45:39.542,0.05,2.5,17.75
LINE3,01-10-2020 01:46:39.543,0.05,2.5,17.8
LINE3,01-10-2020 01:47:39.543,0.05,2.51,17.86
LINE3,01-10-2020 01:48:39.543,0.05,2.49,17.86
LINE3,01-10-2020 01:49:39.541,0.05,2.49,17.97
LINE3,01-10-2020 01:50:39.543,0.05,2.51,17.98
LINE3,01-10-2020 01:51:39.541,0.05,2.51,18.04
LINE3,01-10-2020 01:52:39.542,0.05,2.5,17.98
LINE3,01-10-2020 01:53:39.542,0.05,2.48,18.06
LINE3,01-10-2020 01:54:39.542,0.05,2.51,18.04
LINE3,01-10-2020 01:55:39.542,0.05,2.5,18.2
LINE3,01-10-2020 01:56:39.542,0.05,2.48,18.21
LINE3,01-10-2020 01:57:39.543,0.05,2.51,18.19
LINE3,01-10-2020 01:58:39.542,0.05,2.5,18.19
LINE3,01-10-2020 01:59:39.543,0.05,2.51,18.19
LINE3,01-10-2020 02:00:39.541,0.05,2.49,18.31
LINE3,01-10-2020 02:01:39.543,0.05,2.53,18.3
LINE3,01-10-2020 02:02:39.541,0.05,2.5,18.41
LINE3,01-10-2020 02:03:39.542,0.05,2.48,18.41
LINE3,01-10-2020 02:04:39.542,0.05,2.51,18.42
LINE3,01-10-2020 02:05:39.541,0.05,2.49,18.41
LINE3,01-10-2020 02:06:39.543,0.05,2.5,18.45
LINE3,01-10-2020 02:07:39.542,0.05,2.51,18.51
LINE3,01-10-2020 02:08:39.543,0.05,2.51,18.62
LINE3,01-10-2020 02:09:39.542,0.05,2.5,18.63
LINE3,01-10-2020 02:10:39.542,0.05,2.5,18.59
LINE3,01-10-2020 02:11:39.543,0.05,2.52,18.64
LINE3,01-10-2020 02:12:39.542,0.05,2.48,18.63
LINE3,01-10-2020 02:13:39.543,0.05,2.51,18.64
LINE3,01-10-2020 02:14:39.542,0.05,2.51,18.64
LINE3,01-10-2020 02:15:39.557,0.05,2.52,18.69
LINE3,01-10-2020 02:16:39.542,0.05,2.51,18.69
LINE3,01-10-2020 02:17:39.542,0.05,2.49,18.73
LINE3,01-10-2020 02:18:39.543,0.05,2.49,18.68
LINE3,01-10-2020 02:19:39.542,0.05,2.48,18.73
LINE3,01-10-2020 02:20:39.542,0.05,2.51,18.75
LINE3,01-10-2020 02:21:39.542,0.05,2.51,18.73
LINE3,01-10-2020 02:22:39.543,0.05,2.52,18.75
LINE3,01-10-2020 02:23:39.542,0.05,2.51,18.75
LINE3,01-10-2020 02:24:39.542,0.05,2.51,18.73
LINE3,01-10-2020 02:25:39.542,0.05,2.5,18.73
LINE3,01-10-2020 02:26:39.543,0.05,2.49,18.74
LINE3,01-10-2020 02:27:39.543,0.05,2.52,18.73
LINE3,01-10-2020 02:28:39.542,0.05,2.49,18.73
LINE3,01-10-2020 02:29:39.542,0.05,2.5,18.75
LINE3,01-10-2020 02:30:39.542,0.05,2.49,18.74
LINE3,01-10-2020 02:31:39.542,0.05,2.51,18.74
LINE3,01-10-2020 02:32:39.542,0.05,2.49,18.67
LINE3,01-10-2020 02:33:39.543,0.05,2.48,18.63
LINE3,01-10-2020 02:34:39.542,0.05,2.48,18.69
LINE3,01-10-2020 02:35:39.541,0.05,2.47,18.64
LINE3,01-10-2020 02:36:39.543,0.05,2.51,18.69
LINE3,01-10-2020 02:37:39.541,0.05,2.47,18.62
LINE3,01-10-2020 02:38:39.543,0.05,2.49,18.64
LINE3,01-10-2020 02:39:39.542,0.05,2.52,18.64
LINE3,01-10-2020 02:40:39.543,0.05,2.49,18.64
LINE3,01-10-2020 02:41:39.543,0.05,2.51,18.65
LINE3,01-10-2020 02:42:39.542,0.05,2.49,18.63
LINE3,01-10-2020 02:43:39.542,0.05,2.54,18.62
LINE3,01-10-2020 02:44:39.542,0.05,2.51,18.51
LINE3,01-10-2020 02:45:39.542,0.05,2.48,18.52
LINE3,01-10-2020 02:46:39.542,0.05,2.49,18.52
LINE3,01-10-2020 02:47:39.542,0.05,2.48,18.53
LINE3,01-10-2020 02:48:39.542,0.05,2.49,18.41
LINE3,01-10-2020 02:49:39.543,0.05,2.51,18.42
LINE3,01-10-2020 02:50:39.542,0.05,2.52,18.46
LINE3,01-10-2020 02:51:39.542,0.05,2.5,18.43
LINE3,01-10-2020 02:52:39.542,0.05,2.49,18.41
LINE3,01-10-2020 02:53:39.542,0.05,2.53,18.4
LINE3,01-10-2020 02:54:39.543,0.05,2.48,18.43
LINE3,01-10-2020 02:55:39.542,0.05,2.53,18.41
LINE3,01-10-2020 02:56:39.542,0.05,2.49,18.29
LINE3,01-10-2020 02:57:39.543,0.05,2.53,18.24
LINE3,01-10-2020 02:58:39.543,0.05,2.51,18.3
LINE3,01-10-2020 02:59:39.542,0.05,2.51,18.26
LINE3,01-10-2020 03:00:39.542,0.05,2.49,18.21
LINE3,01-10-2020 03:01:39.543,0.05,2.5,18.21
LINE3,01-10-2020 03:02:39.542,0.05,2.51,18.24
LINE3,01-10-2020 03:03:39.543,0.05,2.51,18.19
LINE3,01-10-2020 03:04:39.543,0.05,2.54,18.19
LINE3,01-10-2020 03:05:39.543,0.05,2.49,18.18
LINE3,01-10-2020 03:06:39.542,0.05,2.44,18.16
